akt,mek12,erk12,ikb,jnk12,p38,hsp27
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.192685,0.0,0.0,0.0,0.0,0.0
0.0,0.192685,0.0,0.0,0.0,0.0,0.0
0.0,0.192685,0.0,0.0,0.0,0.0,0.0
0.0,0.192685,0.0,0.0,0.0,0.0,0.0
0.0,0.192685,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.124905,0.0
0.0,0.0,0.0,0.0,0.0,0.124905,0.0
0.0,0.0,0.0,0.0,0.0,0.124905,0.0
0.0,0.0,0.0,0.0,0.0,0.124905,0.0
0.0,0.0,0.0,0.0,0.0,0.124905,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2615,0.0,0.0,0.0,0.0,0.0,0.0
0.6072,0.0062,0.0,0.9978,0.0,0.0,0.0
0.0003,0.7445,0.0,0.9998,0.9999,0.9999,0.9997
0.9259,0.2321,0.0,0.0,0.0,0.0,0.0
0.9161,0.9782,0.8128,0.0,0.0,0.997,0.0
0.0147,0.192685,0.0,0.0,0.0,0.0,0.0
0.074,0.192685,0.0,0.9964,0.0,0.0,0.0
0.0487,0.192685,0.0,0.9999,0.9997,0.9999,0.9994
0.8095,0.192685,0.0,0.0,0.0,0.0,0.0
0.8261,0.192685,0.0,0.0,0.0,0.0,0.0
0.1948,0.0,0.0,0.0,0.0,0.124905,0.0
0.3005,0.0,0.0,0.9947,0.0,0.124905,0.0
0.4215,0.7284,0.0,0.9998,0.9998,0.124905,0.0
0.839,0.0,0.0,0.0,0.0,0.124905,0.0
0.8138,0.9451,0.9497,0.0,0.0,0.124905,0.0
0.065,0.0,0.0,0.0,0.0,0.0,0.0
0.6521,0.1077,0.0,0.9968,0.0,0.0,0.0
0.5755,0.7075,0.0,0.9998,0.9999,0.9997,0.9997
0.9008,0.124,0.0,0.0,0.0,0.0,0.0
0.5615,0.9134,0.9247,0.0,0.0,0.0,0.0
0.0204,0.0006,0.0,0.0,0.0,0.0,0.0
0.3867,0.3066,0.0,0.0,0.0,0.0,0.0
0.059,0.8486,0.0,0.0,0.9999,0.9997,0.9996
0.9449,0.1199,0.0,0.0,0.0,0.0,0.0
0.8173,0.9446,0.9152,0.0,0.0,0.0,0.0
